,utterance,request,importance
95,want information contact customer service,contact_customer_service,standard_priority
96,want help seeing withdrawal fees,check_cancellation_fee,medium_priority
97,wan na submit comment,review,high_priority
98,need refund get one,get_refund,standard_priority
99,change order,change_order,standard_priority
100,ca remember password want retrieve,recover_password,standard_priority
101,need help checking invoice,check_invoices,medium_priority
102,ask agent could remove online account,delete_account,high_priority
103,error pops try pay online order,payment_issue,standard_priority
104,help notify issues making payment,payment_issue,medium_priority
105,see money back guarantee,check_refund_policy,medium_priority
106,time contact customer service,contact_customer_service,medium_priority
107,got edit information account,edit_account,standard_priority
108,wan na use profile u switch,switch_account,high_priority
109,please ask agent inform issue making payment,payment_issue,medium_priority
110,lost bill check,check_invoices,standard_priority
111,could contact customer service,contact_customer_service,medium_priority
112,want check money back guarantee,check_refund_policy,high_priority
113,could u ask agent notify fucking issue making payment please,payment_issue,high_priority
114,know could change shipping address,change_shipping_address,standard_priority
115,know need get refunds money,get_refund,standard_priority
116,got error message attempted pay charged anyway notify,payment_issue,standard_priority
117,issue trying pay online order report,payment_issue,standard_priority
118,want account cancel,delete_account,standard_priority
119,want know could register several user accounts single email please,create_account,high_priority
120,lost account password help,recover_password,standard_priority
121,happy service file complaint,complaint,standard_priority
122,get error message attempt make payment online order,payment_issue,standard_priority
123,purchased product change order,change_order,standard_priority
124,could tell could several profiles please,create_account,medium_priority
125,event cancelled want obtain fucking reimbursement please,get_refund,standard_priority
126,could ask agent report issues making payment please,payment_issue,medium_priority
127,track package,track_order,medium_priority
128,problem trying pay notify,payment_issue,standard_priority
129,event postponed get reimbursement,get_refund,standard_priority
130,u ask agent see cancellation fees,check_cancellation_fee,high_priority
131,want obtain bills tell,get_invoice,standard_priority
132,show cases ask refund,check_refund_policy,standard_priority
133,please ask agent free number contact customer service,contact_customer_service,medium_priority
134,got error message tried pay card charged anyway inform,payment_issue,standard_priority
135,report registration issues,registration_problems,medium_priority
136,ca find invoice seven purchases ago,check_invoice,standard_priority
137,obtain bill,get_invoice,medium_priority
138,know leave review,review,standard_priority
139,issue trying pay order inform,payment_issue,high_priority
140,check cancellation penalty,check_cancellation_fee,high_priority
141,want help lodging customer complaint ur company,complaint,medium_priority
142,concert postponed get refund,get_refund,high_priority
143,user account hacked,recover_password,standard_priority
144,want help checking anything new refund,track_refund,standard_priority
145,want cancel online account,delete_account,standard_priority
146,want know several profiles,create_account,standard_priority
147,cant switch another user profile,switch_account,high_priority
148,need check invoices,check_invoice,standard_priority
149,please could u show fucking phone number client service,contact_customer_service,high_priority
150,could u ask agent view money back policy,check_refund_policy,high_priority
151,problem trying pay order report,payment_issue,standard_priority
152,issue paying order could help,payment_issue,standard_priority
153,check soon expect item,delivery_period,medium_priority
154,would possible check long refunds take,check_refund_policy,standard_priority
155,error pops try pay,payment_issue,standard_priority
156,show cancelled help request reimbursement,get_refund,standard_priority
157,please wan na know register two online accounts single email,create_account,high_priority
158,got error attempted make payment charged anyway,payment_issue,standard_priority
159,lost invoice check,check_invoices,standard_priority
160,problem trying make payment card want report,payment_issue,high_priority
161,see invoice,check_invoices,medium_priority
162,discontent service need help making complaint,complaint,standard_priority
163,speak live agent,contact_human_agent,medium_priority
164,happy service make consumer complaint,complaint,standard_priority
165,trying sign company newsletter,newsletter_subscription,standard_priority
166,tell track fucking sdhipment,track_order,medium_priority
167,need assistance get invoices purchases ago,get_invoice,standard_priority
168,someone stole password want reset,recover_password,high_priority
169,purchased product modify purchase,change_order,standard_priority
170,tell obtain bills,get_invoice,medium_priority
171,help speak human,contact_human_agent,medium_priority
172,account hacked recover,recover_password,medium_priority
173,help make purchase,place_order,medium_priority
174,help recover account pwd,recover_password,medium_priority
175,want help update profile,edit_account,medium_priority
176,innform problem paying,payment_issue,medium_priority
177,inform problems making payment,payment_issue,medium_priority
178,could talk agent,contact_human_agent,medium_priority
179,assistance check refund policy,check_refund_policy,medium_priority
180,want information forgotten access keys,recover_password,medium_priority
181,track last order,track_order,medium_priority
182,show soon expect item,delivery_period,medium_priority
183,see payment methods,check_payment_methods,medium_priority
184,ask agent report issues paying,payment_issue,high_priority
185,bought product modify purchase,change_order,standard_priority
186,could help check status order,track_order,medium_priority
187,need information mail address customer service,contact_customer_service,medium_priority
188,looking information user account deletions,delete_account,medium_priority
189,got check status refund,track_refund,standard_priority
190,would like know password recovery,recover_password,medium_priority
191,check hours customer service available,contact_customer_service,medium_priority
192,changed midn delete profile,delete_account,standard_priority
193,create several user accounts single email,create_account,medium_priority
194,problem paying inform,payment_issue,standard_priority
195,tell cancel company newsletter subscription,newsletter_subscription,medium_priority
196,tyo create user account,create_account,medium_priority
197,ask agent inform pproblems paying please,payment_issue,medium_priority
198,discontent service would like file consumer complaint please,complaint,standard_priority
199,please ask agent inform fucking issue payment,payment_issue,medium_priority
200,help report payment issue,payment_issue,medium_priority
201,changed mind whatshould cancel profile,delete_account,high_priority
202,want know modify purchase,change_order,standard_priority
203,tell free contact customer support,contact_customer_service,medium_priority
204,happy service submit comment,review,high_priority
205,please ask agent could inform fucking problems making payment,payment_issue,high_priority
206,want know shipmetn delivery,track_order,standard_priority
207,someone stole password want reset,recover_password,standard_priority
208,need edit personal information,edit_account,standard_priority
209,concert cancelled requesr refund,get_refund,high_priority
210,help check refund policy,check_refund_policy,medium_priority
211,want use user account change,switch_account,standard_priority
212,want check options delivery help,delivery_options,standard_priority
213,want know email address customer support,contact_customer_service,medium_priority
214,want user account create one,create_account,medium_priority
215,help check bill,check_invoices,medium_priority
216,help delete account,delete_account,medium_priority
217,know restore goddamn account password,recover_password,standard_priority
218,ask agent modify order,change_order,high_priority
219,im discontent service file complaint,complaint,high_priority
220,account help register,create_account,medium_priority
221,could leave review services,review,medium_priority
222,contact human,contact_human_agent,medium_priority
223,want assistance retrieve user account password,recover_password,medium_priority
224,track last order,track_order,medium_priority
225,get invoices,get_invoice,standard_priority
226,dont know see early exiut charges,check_cancellation_fee,high_priority
227,want fuckimg user account like open one,create_account,standard_priority
228,talk someone,contact_human_agent,medium_priority
229,report problem paying,payment_issue,medium_priority
230,u ask agent email contact customer service,contact_customer_service,high_priority
231,could ask agent could view status purchase,track_order,medium_priority
232,need submit feedback service,review,standard_priority
233,open acconut wife,create_account,medium_priority
234,jnderstand would like speak someone please,contact_human_agent,standard_priority
235,u ask agent lodge complaint,complaint,high_priority
236,please ask agent could track packages,track_order,medium_priority
237,u ask agent create account,create_account,high_priority
238,got error attempted pay charged anyway want inform,payment_issue,standard_priority
239,tell see bills,get_invoice,standard_priority
240,speak customer support,contact_customer_service,medium_priority
241,tell shipments way,track_order,standard_priority
242,want online account remove,delete_account,standard_priority
243,try buy several items,place_order,medium_priority
244,tell forgotten passwords,recover_password,medium_priority
245,want know change purchase,change_order,high_priority
246,prbolem making payment notify,payment_issue,standard_priority
247,got check invoice last month,check_invoice,standard_priority
248,need assistance use new usr profile,switch_account,high_priority
249,want know know shipments,track_order,standard_priority
250,create onlind account,create_account,medium_priority
251,inform signup problems,registration_problems,standard_priority
252,want information contact client service,contact_customer_service,medium_priority
253,help buying item,place_order,medium_priority
254,concert postponed get refund,get_refund,high_priority
255,need help requesting reimbursement,get_refund,standard_priority
256,lost invoice view,check_invoices,standard_priority
257,mind asking agent could check order please,track_order,standard_priority
258,help contact client service,contact_customer_service,medium_priority
259,want assistance filing complaint,complaint,medium_priority
260,got error attempted pay card charged anyway,payment_issue,high_priority
261,want information call client service,contact_customer_service,standard_priority
262,change several items order,change_order,medium_priority
263,notify problems payment,payment_issue,medium_priority
264,could help report registration issues,registration_problems,medium_priority
265,issue creating profile,registration_problems,medium_priority
266,issue making payment whta report,payment_issue,high_priority
267,want view invoices,check_invoices,medium_priority
268,shipping address set one,set_up_shipping_address,high_priority
269,help check allowed payment methods,check_payment_methods,medium_priority
270,need help trying change shipping address,change_shipping_address,medium_priority
271,know change shipping address,change_shipping_address,standard_priority
272,tell shipping address change,change_shipping_address,medium_priority
273,cancel account,delete_account,medium_priority
274,ask agent receive refund,get_refund,high_priority
275,want check status order help,track_order,standard_priority
276,need information contact customer support,contact_customer_service,standard_priority
277,account want create one please,create_account,standard_priority
278,bought item change order,change_order,high_priority
279,know check refund policy,check_refund_policy,standard_priority
280,need help informing issue paying,payment_issue,medium_priority
281,tell request bill,get_invoice,medium_priority
282,issue trying pay order,payment_issue,standard_priority
283,know check refund status,track_refund,standard_priority
284,need fucking reimbursement request one please,get_refund,high_priority
285,contact agent,contact_human_agent,medium_priority
286,know retrieve user account pin,recover_password,standard_priority
287,understand speak human,contact_human_agent,standard_priority
288,need refund obtain one please,get_refund,medium_priority
289,receive invoices need help viewing thme,check_invoices,high_priority
290,want information need help speaking customer support,contact_customer_service,high_priority
291,know contact customer service,contact_customer_service,standard_priority
292,interested money back policy tell,check_refund_policy,standard_priority
293,making claim company,complaint,medium_priority
294,talk human,contact_human_agent,medium_priority
295,tell create two online accounts single email address,create_account,medium_priority
296,information getting invoice,get_invoice,medium_priority
297,question canceling orders,cancel_order,medium_priority
298,want reimbursement request one,get_refund,high_priority
299,got error attempted make payment card charged anyway notify,payment_issue,standard_priority
300,got profile,create_account,standard_priority
301,help removing something,change_order,medium_priority
302,request refund,get_refund,medium_priority
303,want help solving issues payment,payment_issue,medium_priority
304,made mistake ask agent change order,change_order,high_priority
305,wan na view bill,check_invoices,high_priority
306,tell track shipments,track_order,medium_priority
307,issue trying pay card report,payment_issue,standard_priority
308,want know mail customer service,contact_customer_service,high_priority
309,got cancel company newsletter subscription,newsletter_subscription,standard_priority
310,happy service help submit complaint,complaint,standard_priority
311,could tell could modify order please,change_order,high_priority
312,know orders,track_order,standard_priority
313,file consumer complaint,complaint,medium_priority
314,tell free phone number client service,contact_customer_service,medium_priority
315,issue trying pay card notify,payment_issue,standard_priority
316,found problems creating profile,registration_problems,medium_priority
317,would like information forgotten passwords,recover_password,medium_priority
318,arent helping contact someone,contact_human_agent,high_priority
319,see ticket delivery options,delivery_options,medium_priority
320,get error message attempt make payment card,payment_issue,standard_priority
321,problem trying make payment u nnotify,payment_issue,high_priority
322,information getting bill,get_invoice,medium_priority
323,purchased item modify purchase,change_order,high_priority
324,want know several user accounts,create_account,standard_priority
325,happy service help lodge review,review,standard_priority
326,create online account,create_account,medium_priority
327,wan na update profile,edit_account,high_priority
328,u ask agent could notify payment problem please,payment_issue,high_priority
329,assistance find invoices january,check_invoice,medium_priority
330,want information contact client service,contact_customer_service,standard_priority
331,know track last order,track_order,standard_priority
332,u ask agent solve payment problems,payment_issue,high_priority
333,want check bill help,check_invoices,standard_priority
334,want solve problems making payment,payment_issue,medium_priority
335,check status order,track_order,medium_priority
336,happy service make consumer complaint,complaint,standard_priority
337,want get bill tell,get_invoice,standard_priority
338,know could check order eta,track_order,standard_priority
339,want remove premium account,delete_account,medium_priority
340,could u ask agent update fucking shipping address,change_shipping_address,high_priority
341,check options ticket delivery,delivery_options,medium_priority
342,want assistance speaking bloody live agent,contact_human_agent,medium_priority
343,show email customer support,contact_customer_service,medium_priority
344,want profile delete,delete_account,standard_priority
345,want find invoice last month,check_invoice,standard_priority
346,need contact agent,contact_human_agent,standard_priority
347,want see invoice tell,get_invoice,standard_priority
348,need help resetting pin code account,recover_password,medium_priority
349,could switch another account,switch_account,medium_priority
350,u ask agent view options ticket delivery,delivery_options,high_priority
351,ohw recover password,recover_password,medium_priority
352,help create another user account daughter,create_account,medium_priority
353,want make consumer complaint service,complaint,standard_priority
354,want submit consumer complaint service help,complaint,standard_priority
355,ask agent subscribe newsletter,newsletter_subscription,medium_priority
356,could help get invoices,get_invoice,medium_priority
357,register two accounts single email,create_account,medium_priority
358,tell check orders,track_order,medium_priority
359,cant understand talk someone,contact_human_agent,high_priority
360,solve problems payment,payment_issue,high_priority
361,file complaint business,complaint,medium_priority
362,tell register several user accounts single email address,create_account,medium_priority
363,ask agent check reimbursement policy,check_refund_policy,medium_priority
364,made mistake change order,change_order,standard_priority
365,ca remember password recover,recover_password,standard_priority
366,need assistance see accepted payment options,check_payment_methods,medium_priority
367,wan na know request bill,get_invoice,medium_priority
368,recover password,recover_password,medium_priority
369,ask agent could report problems making payment,payment_issue,medium_priority
370,ask agent report fucking problems paying,payment_issue,medium_priority
371,could tell email contact client service please,contact_customer_service,medium_priority
372,someone stole password reset,recover_password,standard_priority
373,u ask agent check orders,track_order,high_priority
374,uare helpful help speak assistant,contact_human_agent,medium_priority
375,u ask agent solve problem making payment,payment_issue,high_priority
376,see bills,get_invoice,medium_priority
377,changed mind remove profile,delete_account,medium_priority
378,help check invoices months ago,check_invoice,standard_priority
379,happy service make complaint,complaint,standard_priority
380,u ask agent theres newsletter receive please,newsletter_subscription,high_priority
381,could check options delivery,delivery_options,medium_priority
382,u ask agent view status reimbursement,track_refund,high_priority
383,notify problems payment,payment_issue,high_priority
384,help solve payment issues,payment_issue,medium_priority
385,agme cancelled help get refund,get_refund,standard_priority
386,issues signing,registration_problems,standard_priority
387,request reimbursement,get_refund,high_priority
388,tell could register two user accounts single email address,create_account,medium_priority
389,track order,track_order,medium_priority
390,wan na solve problem payment,payment_issue,high_priority
391,want make opinion hve,review,standard_priority
392,need help reporting issues making payment,payment_issue,medium_priority
393,want assistance canceling order,cancel_order,medium_priority
394,could tell forgotten password,recover_password,medium_priority
395,possible track shipment,track_order,medium_priority
396,help modifying personal information,edit_account,medium_priority
397,event postponed obtain refund,get_refund,standard_priority
398,help checking time contact customer service,contact_customer_service,medium_priority
399,would like information forgotten password,recover_password,medium_priority
400,lost invoices see,check_invoices,standard_priority
401,close profile,delete_account,medium_priority
402,could ask agent information getting invoices please,get_invoice,medium_priority
403,issue trying pay help report,payment_issue,high_priority
404,profile hacked need help getting back,recover_password,standard_priority
405,submit feedback,review,medium_priority
406,show delivery period,delivery_period,medium_priority
407,would like information password recovery,recover_password,medium_priority
408,lost invoices check,check_invoices,standard_priority
409,need information obtaining invoices,get_invoice,medium_priority
410,cant remember password reset,recover_password,high_priority
411,issue paying order notify,payment_issue,standard_priority
412,like service file consumer complaint,complaint,standard_priority
413,wan na check shipment tell,track_order,high_priority
414,notify problems paying,payment_issue,medium_priority
415,trying set another shipping address,set_up_shipping_address,medium_priority
416,problem paying notify,payment_issue,standard_priority
417,need information want call customer support,contact_customer_service,standard_priority
418,check allowed payment methods,check_payment_methods,medium_priority
419,got error message tried make payment charged anyway need help notifying,payment_issue,high_priority
420,account hacked wan na recover,recover_password,high_priority
421,ordered product modify order,change_order,standard_priority
422,forgot password retrieve,recover_password,high_priority
423,want see bill,check_invoices,high_priority
424,view status order,track_order,medium_priority
425,youj ask agent show invoices please,check_invoices,medium_priority
426,need help checking delivery options offer,delivery_options,medium_priority
427,got account open one,create_account,standard_priority
428,question options delivery,delivery_options,medium_priority
429,please could u ask agent report payment problems,payment_issue,high_priority
430,lost bill check,check_invoices,high_priority
431,could u ask agent request invoice,get_invoice,high_priority
432,ask agent could notify problems making payment,payment_issue,medium_priority
433,need assistance reporting issue payment,payment_issue,medium_priority
434,happy service submit comment,review,standard_priority
435,shipping address u set,set_up_shipping_address,high_priority
436,tell cqn see invoice,get_invoice,medium_priority
437,know need report payment issues,payment_issue,standard_priority
438,user account want create one,create_account,standard_priority
439,shipping address set,set_up_shipping_address,standard_priority
440,profile hacked recover,recover_password,high_priority
441,track refund,track_refund,standard_priority
442,know set different shipping address,set_up_shipping_address,standard_priority
443,need help check cancellation penalties,check_cancellation_fee,medium_priority
444,someone stole account password recover,recover_password,high_priority
445,problem trying make payment card want inform,payment_issue,standard_priority
446,question need help talking customer service,contact_customer_service,standard_priority
447,purchased product modify order,change_order,standard_priority
448,need track last order,track_order,standard_priority
449,contact human,contact_human_agent,medium_priority
450,got error attempted make payment card charged anyway help notify,payment_issue,standard_priority
451,user account create one please,create_account,medium_priority
452,cancel order made,cancel_order,standard_priority
453,need assistance setting different shipping address,set_up_shipping_address,medium_priority
454,got anerror attempted make payment charged anyway need help reporting,payment_issue,standard_priority
455,could ask agent view refund policy,check_refund_policy,medium_priority
456,could ask agent could track package please,track_order,high_priority
457,issue trying pay online order report,payment_issue,standard_priority
458,could show information email address client service please,contact_customer_service,medium_priority
459,check item arrive,delivery_period,medium_priority
460,please could u ask agent see bill,get_invoice,high_priority
461,got contact customer assistance,contact_customer_service,high_priority
462,show cancelled obtain refund,get_refund,standard_priority
463,please wan na know change fucking order,change_order,standard_priority
464,registering,create_account,medium_priority
465,need assistance setting new shipping address,set_up_shipping_address,medium_priority
466,error message pops attempt pay,payment_issue,standard_priority
467,check invoices,check_invoices,medium_priority
468,request refund,get_refund,standard_priority
469,need hlp requesting somr bills,get_invoice,medium_priority
470,could help using another account,switch_account,medium_priority
471,help edit personal information,edit_account,medium_priority
472,know get invoices ten months ago,get_invoice,standard_priority
473,got account register,create_account,standard_priority
474,wan na see status reimbursement please,track_refund,high_priority
475,discontent service make complaint,complaint,standard_priority
476,want get information downloading bills,get_invoice,standard_priority
477,remove online account,delete_account,medium_priority
478,cant understand help talk human agent,contact_human_agent,high_priority
479,tell modifying purchase,change_order,standard_priority
480,got error tried make payment charged anyway report,payment_issue,standard_priority
481,would like check order tell,track_order,high_priority
482,wan na know modify purchase,change_order,medium_priority
483,ca find bill see,check_invoices,high_priority
484,create account,create_account,medium_priority
485,need assistance change shipping address,change_shipping_address,medium_priority
486,could check payment methods available,check_payment_methods,medium_priority
487,help get invoices december,get_invoice,medium_priority
488,tell payment methods,check_payment_methods,medium_priority
489,tell track order,track_order,high_priority
490,problem trying make payment card notify,payment_issue,standard_priority
491,polease want know modifying fucking order,change_order,high_priority
492,know need switch another account,switch_account,standard_priority
493,need help seeing status reimbursement,track_refund,standard_priority
494,could help check order eta,track_order,medium_priority
495,could help change shipping address,change_shipping_address,medium_priority
496,get payment confirmation help,payment_issue,standard_priority
497,u asi agent edit information profile,edit_account,high_priority
498,tell free number contact customer service,contact_customer_service,medium_priority
499,please could u ask agent could view invoice,check_invoices,high_priority
500,want know get full refund case cancel ticket,check_refund_policy,standard_priority
501,ask agent notify payment issues,payment_issue,medium_priority
502,delete profile,delete_account,medium_priority
503,watn online account cancel,delete_account,standard_priority
504,could ask agentif create user account please,create_account,medium_priority
505,wan na notify payment issue,payment_issue,high_priority
506,could ask agent notify issues making payment please,payment_issue,medium_priority
507,want reimbursement get one,get_refund,standard_priority
508,want viwe status order,track_order,high_priority
509,lost bill need help seeing,check_invoices,standard_priority
510,chdck invoices,check_invoices,medium_priority
511,help notifby problem paying,payment_issue,medium_priority
512,make order,place_order,medium_priority
513,want submit complaint service help,complaint,standard_priority
514,got error attempted pay card charged anyway notify,payment_issue,standard_priority
515,check refund policy,check_refund_policy,medium_priority
516,want see cancellation penalty,check_cancellation_fee,medium_priority
517,got error tried make payment card charged anyway need help informing please,payment_issue,high_priority
518,tell wha email contact client service,contact_customer_service,medium_priority
519,want know shipments way,track_order,standard_priority
520,know need get invoices,get_invoice,standard_priority
521,want account open one,create_account,high_priority
522,tell several accounts,create_account,medium_priority
523,know buy items,place_order,standard_priority
524,question call client service,contact_customer_service,high_priority
525,register several accounts single email,create_account,medium_priority
526,need ask compensations help,get_refund,standard_priority
527,mail contact customer service,contact_customer_service,medium_priority
528,helping contact someone,contact_human_agent,standard_priority
529,notify registration errors,registration_problems,high_priority
530,information status reimbursement,track_refund,medium_priority
531,checking cancellation fees,check_cancellation_fee,medium_priority
532,show number customer support,contact_customer_service,medium_priority
533,want know obtain invoice,get_invoice,standard_priority
534,know get refunds money,get_refund,standard_priority
535,want make complaint,complaint,standard_priority
536,question need help calling customer service,contact_customer_service,standard_priority
537,know set new shipping address,set_up_shipping_address,standard_priority
538,get error try make payment online order help,payment_issue,standard_priority
539,need help canceling last order,cancel_order,standard_priority
540,want user account open one,create_account,standard_priority
541,ca remember account password retrieve,recover_password,standard_priority
542,help reporting registration issue,registration_problems,medium_priority
543,found problem registering,registration_problems,medium_priority
544,need reimbursement obtain one,get_refund,high_priority
545,know need contact customer service,contact_customer_service,standard_priority
546,wan na change fucking order could tell please,change_order,high_priority
547,ca find bill want view,check_invoices,standard_priority
548,view ticket delivery options,delivery_options,medium_priority
549,want use online account switch,switch_account,medium_priority
550,want help getting refund money,get_refund,standard_priority
551,need help informing problems payment,payment_issue,medium_priority
552,need assistance ouruser,registration_problems,medium_priority
553,im happy service u make opinion,review,high_priority
554,need information call customer service,contact_customer_service,medium_priority
555,register two zccounts single email address,create_account,medium_priority
556,u ask agent report problems making payment,payment_issue,high_priority
557,get error message attempt make payment order,payment_issue,high_priority
558,ask agent could check refund policy please,check_refund_policy,medium_priority
559,understand want talk person,contact_human_agent,standard_priority
560,issue making payment notify,payment_issue,standard_priority
561,wan na change purchase tell,change_order,standard_priority
562,problem updating shipping address,change_shipping_address,medium_priority
563,trying find information order cancelations,cancel_order,standard_priority
564,want know track package,track_order,high_priority
565,ask agent could inform payment problems please,payment_issue,medium_priority
566,want user account need help removing,delete_account,standard_priority
567,want view options delivery help,delivery_options,standard_priority
568,help submit feedback company,review,medium_priority
569,purchased item modify purchase,change_order,standard_priority
570,need help opoening user account,create_account,medium_priority
571,issue trying pay card need help notifying,payment_issue,standard_priority
572,want obtain invooice tell,get_invoice,high_priority
573,could tell delivery periods,delivery_period,medium_priority
574,know could set different shipping address,set_up_shipping_address,standard_priority
575,ask agent talk customer service,contact_customer_service,high_priority
576,could tell payment methods available,check_payment_methods,medium_priority
577,check options delivery,delivery_options,medium_priority
578,wan na speak customer support,contact_customer_service,high_priority
579,assistance toi notify problem,registration_problems,medium_priority
580,need assistance get refund money,get_refund,standard_priority
581,file complaint business,complaint,medium_priority
582,cant remember password recover,recover_password,high_priority
583,check time contact customer service,contact_customer_service,standard_priority
584,account hacked get back,recover_password,standard_priority
585,need track last order,track_order,standard_priority
586,wan na request information seeing bills,get_invoice,high_priority
587,get error try pay order help,payment_issue,standard_priority
588,wan na download invoice tell,get_invoice,high_priority
589,need help checking refund policy,check_refund_policy,high_priority
590,question send email customer service,contact_customer_service,medium_priority
591,u ask agent lodge complaint service,complaint,high_priority
592,u ask agent information cancellation fees,check_cancellation_fee,high_priority
593,game cancelled obtain reimbursement,get_refund,standard_priority
594,show cancelled want request reimbursement,get_refund,standard_priority
595,want online account need help opening one,create_account,high_priority
596,u ask agent view invoice,check_invoices,high_priority
597,information seeing invoice,get_invoice,medium_priority
598,hae user account need help creating one,create_account,high_priority
599,try check delivery options offer,delivery_options,medium_priority
600,check cancellation penalty,check_cancellation_fee,medium_priority
601,ask agent get reimbursement,get_refund,medium_priority
602,want know see bill,get_invoice,high_priority
603,event cancelled wan na obtain reimbusement,get_refund,high_priority
604,happy service make review,review,standard_priority
605,want check cancellation fees,check_cancellation_fee,high_priority
606,wan na know status refund want track,track_refund,high_priority
607,tell mail address client service,contact_customer_service,medium_priority
608,help report issue payment,payment_issue,medium_priority
609,tell get full refund case cancel tickets,check_refund_policy,standard_priority
610,change another user account,switch_account,medium_priority
611,would possible get invoices last month,get_invoice,standard_priority
612,question help call customer support,contact_customer_service,medium_priority
613,report payment problem,payment_issue,medium_priority
614,u ask agent show information cancellation penalties,check_cancellation_fee,high_priority
615,question contact customer service,contact_customer_service,medium_priority
616,u ask agent see status refund,track_refund,high_priority
617,ordered product modify order,change_order,standard_priority
618,user acocunt hacked could recover please,recover_password,standard_priority
619,lost pasword recover,recover_password,standard_priority
620,lost password like retrieve please,recover_password,standard_priority
621,problem making payment card,payment_issue,standard_priority
622,got fucking user account open one,create_account,standard_priority
623,want lodge complaint service,complaint,high_priority
